comments,year,month,day
"Anyone else notice this. 
 
Neither Zoe nor Tesla even make the list. The 1 & 2 cars from 2016 and not a single person reviewed their car? 
 
For one I know I completed the review this year, and I know a couple of other folk that reviewed before closing date. And yet Zoe isn't on the list at all. 
 
I'm not screaming fix, but its really odd the 2 highest placed cars are nowhere, and that both scored higher last year than this years winner (a Skoda, in a magazine famously heavily sponsored by VAG and SHELL). 
 
So can we have a show of hands for who voted for 2017.",2017,6,8
"Skoda Superb Mk3 
 
93.42 
 
Skoda Yeti Mk1 
 
93.33 
 
Lexus RX Mk4 
 
93.14 
 
Toyota RAV4 Mk4 
 
93.11 
 
Kia cee'd / pro_cee'd Mk2 
 
93.03 
 
Suzuki Vitara Mk2 
 
93.01 
 
SEAT Leon Mk3 
 
92.8 
 
Lexus CT Mk1 
 
92.42 
 
Volvo XC60 Mk1 
 
92.17 
 
Subaru Forester Mk4 
 
92.15 
 
Skoda Fabia Mk3 
 
92.14 
 
Kia Sportage Mk4 
 
92.03 
 
Audi Q3 / RS Q3 Mk1 
 
91.87 
 
Ford Kuga Mk2 
 
91.77 
 
Lexus NX Mk1 
 
91.66 
 
Peugeot 2008 Mk1 
 
91.45 
 
Hyundai Tucson Mk2 
 
91.34 
 
Volkswagen Golf / Golf SV Mk7 
 
91.26 
 
Peugeot 308 Mk2 
 
91.24 
 
Subaru Outback Mk3 
 
91.18 
 
Skoda Octavia Mk3 
 
91.17 
 
BMW 4 Series / M4 Mk1 
 
91.16 
 
Nissan Pulsar Mk1 
 
91.01 
 
Renault Captur Mk1 
 
90.83 
 
Jaguar XE Mk1 
 
90.8 
 
Honda CR-V Mk4 
 
90.67 
 
Vauxhall Astra Mk7 
 
90.6 
 
Mazda 6 Mk3 
 
90.4 
 
Hyundai i20 Mk2 
 
90.26 
 
Ford C-MAX / Grand C-MAX Mk2 
 
90.24 
 
Mazda 3 Mk3 
 
90.16 
 
Volkswagen Passat Mk8 
 
90.06 
 
Nissan LEAF Mk1 
 
89.99 
 
Audi A6 / RS 6 / S6 Mk4 
 
89.83 
 
Audi A3 / RS 3 / S3 / A3 e-tron Mk3 
 
89.82 
 
Toyota Prius Mk4 
 
89.76 
 
BMW 3 Series / M3 Mk6 
 
89.73 
 
Nissan Qashqai Mk2 
 
89.65 
 
Toyota Aygo Mk2 
 
89.64 
 
Mercedes-Benz C-Class / AMG C-Class Mk4 
 
89.53 
 
BMW 1 Series Mk2 
 
89.48 
 
Citroën C4 Picasso / Grand C4 Picasso Mk2 
 
89.48 
 
Toyota Auris Mk2 
 
89.41 
 
MINI Hatchback / Convertible Mk3 
 
89.38 
 
Fiat 500 / Abarth 500 / Abarth 595 / Abarth 695 Mk1 
 
89.23 
 
Land Rover Discovery Sport Mk1 
 
89.21 
 
Volvo V40 Mk2 
 
89.14 
 
Peugeot 108 Mk1 
 
89.09 
 
Honda Jazz Mk3 
 
89.03 
 
Ford Fiesta Mk6 
 
88.89 
 
Ford Focus Mk3 
 
88.86 
 
Jaguar XF Mk2 
 
88.82 
 
Audi A4 / S4 Mk5 
 
88.74 
 
Nissan Juke Mk1 
 
88.7 
 
Land Rover Range Rover Evoque Mk1 
 
88.68 
 
Toyota Yaris Mk3 
 
88.4 
 
Hyundai i10 Mk2 
 
88.19 
 
Renault Kadjar Mk1 
 
88.18 
 
Volkswagen Polo Mk5 
 
88.16 
 
MG 3 Mk1 
 
88.11 
 
Honda Civic Mk9 
 
87.99 
 
SEAT Ibiza Mk4 
 
87.96 
 
Peugeot 208 Mk1 
 
87.95 
 
Nissan X-Trail Mk3 
 
87.93 
 
Vauxhall Mokka Mk1 
 
87.87 
 
Nissan Note Mk2 
 
87.69 
 
Vauxhall Corsa Mk4 
 
87.67 
 
Dacia Sandero / Sandero Stepway Mk2 
 
87.62 
 
Mercedes-Benz A-Class Mk3 
 
87.53 
 
Renault Clio Mk4 
 
87.23 
 
Citroën C1 Mk2 
 
86.95 
 
Ford Mondeo Mk4 
 
86.77 
 
Citroën C4 Cactus Mk1 
 
86.68 
 
Audi A1 / S1 Mk1 
 
86.53 
 
Volkswagen up! Mk1",2017,6,8
Are you saying that the ZOE topped the reliability polls last year?  I've done a quick search and can't see anything about it.,2017,6,8
"They need a certain number off entrant's 
Or Ampera would be top",2017,6,8
"Electric cars dominate Driver Power 2016, the UK’s biggest car satisfaction survey",2017,6,8
"How to make this review short. Fiat have a Winner on their hands! 
I am in the process of looking for a replacement EV for my BMW i3 94Ah (33kW) Rex which has just gone 4 years old and now on 57,000 miles. I have been looking at and testing ideally long range EVs the past few days, as there are now a few about (Kona, Tesla M3, ID3 etc) but this car has caught my eye! I love a small car and the 500 shape has been around for a few years now. Invited to drive this and luckily for me the dealership here in South Wales had both coupe and convertible La Prima editions but only the convertible was ready for a test drive, which would not be my first choice,as the coupe has a lovely panoramic but non opening sunroof anyway. But also lucky as it was a stunningly beautiful sunny day today. 
The design of this car is already a classic based as it is on the tiny original. Modernised and now even more smoothed off as an EV. Proportions almost perfect. What really has surprised me and my wife today was the solidity and cabin quality, style and use and mix of cabin materials though. In a Fiat small car at that. I am familiar with the Abarth 500 but this e version is a big step up quality wise. Really clear and colourful drivers display with plenty of available information and the central display large, clear and colourful in a horizontal format. But also highly responsive as a touch screen. Not laggy like a lot of touch screens. Another surprise. Wireless Apple Car Play (and Android Auto as far as I know) standard on this model. Not sure about other models in the range. 
Lovely light coloured leather seat. Could be even more bolstered but still comfortable. Lovely to hold leather 2 spoke 2 tone steering wheel. Physical buttons on wheel to control menus on drives display. Rear mounted steering wheel push buttons to control entertainment volume and source etc.  
Nice and clearly marked push button dashboard mounted drive buttons for P,R,N,D. Proper physical ventilation buttons/switches above that! Praise be! Wireless charging mat for phones in between the 2 sections. Accommodated my iPhone 12 Pro Max no  problem.USB socket on dash and in central storage cubby. Also deep storage under central armrest. Marketed as a 2+2 of course but very tight in the back seats. A 2+0!? For storage or for small children or short distance emergency passenger lifts only. The coupe seats fold flat 50:50 but did not check the convertible but boot very very small and no major under boot storage- just puncture repair and 3 pin charge cable space really. No frunk. 
 
Now for the driving. Even more impressed. Again that feeling of solidity. Super smooth ride on dual carriageway. Can be firmish over broken tarmac but mainly due to the short wheelbase. Has a firmish edge to it but controlled/very well damped. Dealt with numeorus speed bumps with no crashing or thumping at all. Another surprise. Took them with ease smoothly and softly. 
This car is FUN to drive. Really holds the road well. Fast, direct and responsive steering. Not much feel but par for the course nowadays. It has that thing called ""character!"". If it was a dog it would be a terrier! Have no idea how powerful it is but is fast enough. Not i3 fast but fun and fast enough. Accelerates with ease, and passes other traffic easily. Typical of an EV. 
 
And then there is the roof on the convertible. Certainly aware of more wind noise above your head when closed (Would like to compare with the coupe at some point). Individual ceiling mounted buttons to open - in 2 stages. Seems to open and close at any speed. We did at 40+mph. Not sure if there is a speed limit on its function. 1st press opens to a very large sunroof. 2nd press of same button folds canvas roof to back of car. Obscures rear vision mostly in that position. With windows open it does give the full convertible feel even though roof rails/structure still up and in place. Would have been nice to have some sort on inner sun mesh screen but I guess this would have been impossible design wise, as sun was blinding and harsh feeling on top of our heads at 2pm this afternoon. It is the only new convertible EV available as far as I know, so worth it! (excluding original and forthcoming Tesla roadster) 
3 drive modes activated by a lever type switch between the seats. Normal, Range and Sherpa. Range does give you some re-gen effect which is very welcome but not 1 pedal driving as far as I could tell. Was having too much fun to test that. 
Did not drive economically. Could you tell? Re-set dash trip meter at beginning and set to efficiency page. Covered 15 miles which included a mountain. Started on 83%. Back to dealership with 72%. 40 min drive but at least 10 mins fiddling with info screens and setting seats and mirrors etc. Average consumption 15.0kWh/100km. Not familiar with that combination of units but google seems to suggest 4.14mi/kWh. Warm day-16-18 degC/dry. Impressed with that as had it on Normal mode for most of drive. I think this has a 45kWh battery but as is often the way I am not sure if that is gross or net. Either way this is an impressive car. If we say it has a 40kWh battery then 150-160 mile real world range. I think Fiat have quoted a WLTP range of up to 199 miles? Driven more sedately nearer 200 miles should be possible but this is a type of car that does not necessarily encourage that! 
Will hopefully get to try the coupe at some point. I gather they charge at 85kW. Once the charging infrastructure improves (I have been saying the same thing every year!), then it will be a no brainer to buy and run one of these. (Perceived) High quality little car. Small battery but big enough for urban trips and fast enough charging to do a longish trip. With the convertible roof it makes any trip an event. Especially on a sunny day. Would be good to try it in heavy rain. Noise? Insulation from the elements? Leaks? Perhaps present 500 convertible owners can advise. 
Anyway this is a very welcome addition to the EV market, which is expanding almost daily at present. Fiat has definitely got its **** back. Or hit the EV target with this one.  
And they were offering discounts and good finance deals back at the dealership. APR was 5.?%  
 
As I have ended another review of a car I tested this week, on another part of the forum: this is my opinion of the car I test drove. Your opinion may differ. This is to inform people who may be interested in this car but unable to sample one for themselves at this time. Look forward to other reviews from you all at some point!",2021,4,24
"Nice review, I am having a test drive on Tuesday, can I ask what sort of discounts were offered, see we were both looking at the Ioniq 5 on an other forum.",2021,4,24
I saw Jonny Smith’s early review of this and thought it looked great.,2021,4,24
I work in the NHS and with their finance package -Affinity? Would give a £2k discount Straight off For NHS workers. I Will have to read up on it. New car/new model but I am sure as Fiat dealers they can still do a deal.,2021,4,24
"I noticed this site seems to have some really good prices - £23.5k for the La Prima hatch. No connection and I've never used them before, so can't vouch for them.",2021,4,24
